PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0.7530013455769582,-1.1230882889067366,-1.930175736552539,-1.9015500171116815,-0.21641930995419145,-2.110994901935214,-0.8793773927570779,-0.5562153742936252,0.2865760855848051,-2.1354633888873162
1.756235990358838,-0.6301431771751224,-0.3103055091352394,-0.07960589968627642,-1.4785836979463145,1.4216544372143038,0.7246701132462026,-1.4814291556030719,-1.028300177976555,-0.63830796710587
-2.5391601903972085,-1.2940644522558316,-0.20010058350692103,-0.16963073145155022,0.7149859764015819,-0.2389533437952191,0.7944784730675167,0.6345978623420065,0.5545707068760974,0.15202161200261813
-1.8955974349828175,-0.6659835391657082,-0.8664782706254864,0.9574681582567429,0.5635311813773821,-1.3285623718124426,0.2774874790340552,-0.277665782904695,-0.8789982697817558,1.5712056111184898
-2.076686593022613,1.934425737719855,0.4521144207325701,-1.1800821906315084,0.16324771714734407,-0.5430211389629904,0.33925943733113956,-0.3101873305692647,0.9464366323139972,1.9064125186332805
-3.6898720133443748,2.2732253015158834,-0.9688129534867338,-0.645674554553422,1.5229568957366864,0.4212904436059065,-3.6017520913300536,1.038959862410543,-2.254137718131612,-0.3594461940697284
-1.4243870897520579,-1.2925002678484538,0.34996734710674116,0.7786580144349813,0.16111356371743904,-0.5608910336668217,-0.6430892626302072,0.6619844915947443,-1.0137293120963748,-0.486647314116799
-1.6766380387197364,-0.43348585463110784,3.6704714191232983,-0.20006768229109725,-0.33741315642790637,-1.0264486336079264,-0.30036133399328646,1.5384294637363756,0.992611150296207,-0.6403360682525031
1.3632682458523406,-2.639557970853333,-0.35025214419017725,-3.3976455993121975,-2.681272411661531,4.447085205741898,0.1623743424043204,1.5262001396997735,-0.3697001479119102,-0.6569091702203265
3.463486146352485,-1.2439406222560105,0.721913876853851,0.48812287419775796,1.304161301643055,-0.004324081622388773,0.7861887100430679,2.148839050523187,-1.8340935957868858,-0.7327673340626545
-3.1496145316486346,-0.3832994171192864,-0.0958902966997621,-0.275825658110404,0.7793765357653626,-0.153400843198614,1.491513217887344,-0.6336841927943071,-0.5722651042441154,-0.22095836534373384
